Date,Source Currency,Target Currency,Exchange Rate
2024-01-01,EUR,USD,1.493
2024-01-01,GBP,USD,0.8467
2024-01-01,INR,USD,1.1532
2024-01-01,JPY,USD,0.764
2024-01-01,AUD,USD,0.5242
2024-01-01,CAD,USD,1.3878
2024-01-01,CHF,USD,1.1636
2024-01-01,CNY,USD,0.5704
2024-01-01,SEK,USD,0.792
2024-01-01,NZD,USD,0.7722
2024-01-01,SGD,USD,0.9713
2024-01-01,HKD,USD,1.4441
2024-01-01,KRW,USD,1.3976
2024-01-01,BRL,USD,0.6796
2024-01-01,ZAR,USD,1.3546
2024-01-02,EUR,USD,0.6314
2024-01-02,GBP,USD,1.253
2024-01-02,INR,USD,1.4906
2024-01-02,JPY,USD,0.6916
2024-01-02,AUD,USD,1.2243
2024-01-02,CAD,USD,0.7057
2024-01-02,CHF,USD,1.2204
2024-01-02,CNY,USD,0.8509
2024-01-02,SEK,USD,1.3596
2024-01-02,NZD,USD,1.2269
2024-01-02,SGD,USD,0.6383
2024-01-02,HKD,USD,1.3858
2024-01-02,KRW,USD,0.9669
2024-01-02,BRL,USD,1.4259
2024-01-02,ZAR,USD,0.8791
2024-01-03,EUR,USD,0.8162
2024-01-03,GBP,USD,0.6924
2024-01-03,INR,USD,1.3908
2024-01-03,JPY,USD,1.1003
2024-01-03,AUD,USD,1.3382
2024-01-03,CAD,USD,0.6794
2024-01-03,CHF,USD,1.4039
2024-01-03,CNY,USD,0.8555
2024-01-03,SEK,USD,0.6923
2024-01-03,NZD,USD,0.963
2024-01-03,SGD,USD,1.2592
2024-01-03,HKD,USD,0.7915
2024-01-03,KRW,USD,0.681
2024-01-03,BRL,USD,1.0844
2024-01-03,ZAR,USD,1.1479
2024-01-04,EUR,USD,0.7415
2024-01-04,GBP,USD,0.7083
2024-01-04,INR,USD,1.1082
2024-01-04,JPY,USD,1.1676
2024-01-04,AUD,USD,0.9606
2024-01-04,CAD,USD,1.2253
2024-01-04,CHF,USD,0.701
2024-01-04,CNY,USD,1.4032
2024-01-04,SEK,USD,0.674
2024-01-04,NZD,USD,0.7073
2024-01-04,SGD,USD,1.014
2024-01-04,HKD,USD,1.4517
2024-01-04,KRW,USD,0.9281
2024-01-04,BRL,USD,1.3002
2024-01-04,ZAR,USD,1.1577
2024-01-05,EUR,USD,0.6787
2024-01-05,GBP,USD,0.5985
2024-01-05,INR,USD,1.3777
2024-01-05,JPY,USD,1.125
2024-01-05,AUD,USD,1.099
2024-01-05,CAD,USD,0.5818
2024-01-05,CHF,USD,0.6395
2024-01-05,CNY,USD,0.8716
2024-01-05,SEK,USD,0.5358
2024-01-05,NZD,USD,1.2882
2024-01-05,SGD,USD,1.0427
2024-01-05,HKD,USD,0.8679
2024-01-05,KRW,USD,1.4676
2024-01-05,BRL,USD,1.4909
2024-01-05,ZAR,USD,0.7185
2024-01-06,EUR,USD,0.8332
2024-01-06,GBP,USD,1.1981
2024-01-06,INR,USD,1.4218
2024-01-06,JPY,USD,1.3773
2024-01-06,AUD,USD,1.4462
2024-01-06,CAD,USD,1.4238
2024-01-06,CHF,USD,0.7522
2024-01-06,CNY,USD,1.1688
2024-01-06,SEK,USD,1.4519
2024-01-06,NZD,USD,1.0492
2024-01-06,SGD,USD,0.5032
2024-01-06,HKD,USD,1.1077
2024-01-06,KRW,USD,0.508
2024-01-06,BRL,USD,1.4946
2024-01-06,ZAR,USD,0.7305
2024-01-07,EUR,USD,0.9029
2024-01-07,GBP,USD,0.9663
2024-01-07,INR,USD,0.9244
2024-01-07,JPY,USD,1.3589
2024-01-07,AUD,USD,1.4357
2024-01-07,CAD,USD,1.347
2024-01-07,CHF,USD,1.3057
2024-01-07,CNY,USD,0.9559
2024-01-07,SEK,USD,1.1364
2024-01-07,NZD,USD,1.3116
2024-01-07,SGD,USD,0.8901
2024-01-07,HKD,USD,1.3976
2024-01-07,KRW,USD,1.1928
2024-01-07,BRL,USD,1.1545
2024-01-07,ZAR,USD,0.9081
2024-01-08,EUR,USD,0.8486
2024-01-08,GBP,USD,1.4513
2024-01-08,INR,USD,0.5496
2024-01-08,JPY,USD,1.01
2024-01-08,AUD,USD,0.8354
2024-01-08,CAD,USD,0.8612
2024-01-08,CHF,USD,1.023
2024-01-08,CNY,USD,1.0007
2024-01-08,SEK,USD,0.8562
2024-01-08,NZD,USD,1.1324
2024-01-08,SGD,USD,0.5557
2024-01-08,HKD,USD,0.6512
2024-01-08,KRW,USD,1.2923
2024-01-08,BRL,USD,0.607
2024-01-08,ZAR,USD,1.2337
2024-01-09,EUR,USD,1.454
2024-01-09,GBP,USD,1.3082
2024-01-09,INR,USD,0.6949
